,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals
114,13535,18094,-2147440892,10,4,2,5,1.0,6.0,3,6.0
115,13535,182068749,-2147440893,13,13,2,14,6.0,6.0,6,0.0
116,13535,183121961,-2147440893,10,10,2,20,8.0,8.0,8,0.0
117,13535,18493,-2147440892,14,14,2,8,2.0,2.0,2,0.0
118,13535,19037,-2147440893,4,4,2,13,12.0,12.0,12,0.0
119,13535,19442,-2147440893,9,9,2,32,2.0,2.0,2,0.0
120,13535,19783,-2147440893,7,5,2,24,15.0,31.0,23,2.0
121,13535,19821,-2147440892,10,10,2,17,17.0,17.0,17,0.0
122,13535,19891,-2147440892,4,4,2,19,19.0,19.0,19,0.0
123,13535,20233,-2147440893,10,5,3,19,6.0,10.0,8,2.5
124,13535,20233,-2147440892,5,5,2,15,3.0,3.0,3,0.0
125,13535,20666,-2147440891,14,5,3,8,8.0,10.0,8,4.5
126,13535,22038,-2147440893,11,6,2,16,6.0,13.0,9,5.0
127,13535,22170,-2147440892,7,4,4,2,1.0,2.0,1,1.0
128,13535,22170,-2147440891,12,7,2,3,2.0,3.0,2,5.0
129,13535,22577,-2147440892,12,7,2,17,7.0,9.0,8,5.0
130,13535,22896164,-2147440893,12,12,2,24,14.0,14.0,14,0.0
131,13535,22896164,-2147440892,12,9,3,18,9.0,18.0,12,1.5
132,13535,23289586,-2147440892,12,4,3,3,1.0,2.0,1,4.0
133,13535,23324,-2147440892,14,11,8,85,15.0,91.0,50,0.42857142857142855
134,13535,23437,-2147440892,10,10,2,21,48.0,48.0,48,0.0
135,13535,23680029,-2147440893,12,3,10,3,1.0,6.0,4,1.0
136,13535,23680029,-2147440892,14,3,24,23,15.0,40.0,25,0.4782608695652174
137,13535,23875,-2147440891,10,4,2,15,9.0,15.0,12,6.0
138,13535,23897,-2147440893,9,3,4,16,3.0,9.0,4,2.0
139,13535,24198,-2147440892,13,13,2,9,4.0,4.0,4,0.0
140,13535,24221,-2147440891,12,10,3,16,4.0,4.0,4,1.0
141,13535,24338,-2147440893,8,3,3,18,8.0,13.0,9,2.5
142,13535,24878351,-2147440893,12,12,2,18,2.0,2.0,2,0.0
143,13535,25088,-2147440893,10,5,3,28,5.0,12.0,7,2.5
144,13535,25088,-2147440892,10,10,2,30,2.0,2.0,2,0.0
145,13535,25089,-2147440893,5,5,2,18,1.0,1.0,1,0.0
146,13535,25431,-2147440893,12,12,2,28,23.0,23.0,23,0.0
147,13535,26839,-2147440891,14,14,2,16,16.0,16.0,16,0.0
148,13535,27323,-2147440893,7,7,2,12,6.0,6.0,6,0.0
149,13535,2734857,-2147440893,9,7,2,16,2.0,10.0,6,2.0
150,13535,2734857,-2147440892,9,9,2,18,8.0,8.0,8,0.0
151,13535,2734935,-2147440892,12,12,2,42,21.0,21.0,21,0.0
152,13535,27662601,-2147440890,12,12,2,9,5.0,5.0,5,0.0
153,13535,28250,-2147440892,7,7,2,2,1.0,1.0,1,0.0
154,13535,28601,-2147440893,9,9,2,18,38.0,38.0,38,0.0
155,13535,28603,-2147440893,10,9,3,21,4.0,24.0,10,0.5
156,13535,290311753,-2147440893,10,7,2,12,7.0,8.0,7,3.0
157,13535,290311753,-2147440892,12,12,2,8,1.0,1.0,1,0.0
158,13535,290311753,-2147440891,12,7,2,5,2.0,3.0,2,5.0
159,13535,29280,-2147440893,9,9,2,25,25.0,25.0,25,0.0
160,13535,29280,-2147440892,9,9,2,13,19.0,19.0,19,0.0
161,13535,29312,-2147440892,7,7,2,8,3.0,3.0,3,0.0
162,13535,29312,-2147437246,9,9,2,7,7.0,7.0,7,0.0
163,13535,2936134,-2147440892,12,7,4,20,5.0,10.0,7,1.6666666666666667
164,13535,2936337,-2147440893,14,14,2,14,14.0,14.0,14,0.0
165,13535,2938293,-2147440892,10,10,2,17,7.0,7.0,7,0.0
166,13535,2938689,-2147440893,7,7,2,13,18.0,18.0,18,0.0
167,13535,2938984,-2147440893,12,5,2,4,4.0,4.0,4,7.0
168,13535,2938984,-2147440892,12,5,2,5,5.0,5.0,5,7.0
169,13535,2939186,-2147440893,6,6,2,19,5.0,5.0,5,0.0
170,13535,2939186,-2147440892,14,7,2,19,18.0,20.0,19,7.0
171,13535,2944107,-2147440892,10,10,2,5,1.0,1.0,1,0.0
172,13535,2944495,-2147440893,9,9,2,16,6.0,6.0,6,0.0
173,13535,2947610,-2147440893,14,9,3,18,17.0,19.0,18,2.5
174,13535,2947610,-2147440891,14,9,2,5,5.0,5.0,5,5.0
