clientkey,medid,lastmodifieddatetime,unitcost,hdp_shardid,sourcesystemkey,medkey
10023,15359,2020-05-22 08:11:50.203,1.000000,7,2,510084
10023,9981,2020-05-22 08:11:50.203,0.000000,7,2,510082
10023,17154,2020-05-22 08:11:50.203,0.590000,7,2,510079
10023,11948,2021-03-12 05:32:03.253,133.570000,7,2,510185
10023,9906,2020-05-22 08:11:50.203,0.000000,7,2,510184
10023,6146,2021-03-12 05:32:03.253,9.303200,7,2,510183
10023,3105,2021-03-12 05:32:03.253,29.700000,7,2,510181
10023,7503,2020-05-22 08:11:50.203,0.081000,7,2,510178
10023,4476,2021-03-12 05:32:03.253,0.209800,7,2,510176
10023,99001,2020-05-22 08:11:50.203,0.000000,7,2,510174
10023,11397,2021-03-12 05:32:03.253,0.187400,7,2,510173
10023,2850,2021-03-12 05:32:03.253,0.795600,7,2,510172
10023,7218,2021-03-12 05:32:03.253,26.470000,7,2,510167
10023,FKT10NE,2021-04-28 08:21:26.347,0.000000,7,2,510120
10023,18948,2021-03-12 05:32:03.253,0.992700,7,2,510119
10023,14621,2021-03-12 05:32:03.253,0.139300,7,2,510116
10023,2811,2020-05-22 08:11:50.203,0.400600,7,2,510115
10023,1975,2020-05-22 08:11:50.203,2.701600,7,2,510114
10023,11232,2021-03-12 05:32:03.253,0.309000,7,2,510113
10023,2259,2021-03-12 05:32:03.253,234.850000,7,2,510112
10023,1672,2021-03-12 05:32:03.253,1.929300,7,2,510111
10023,2017,2021-03-12 05:32:03.253,0.056500,7,2,510110
10023,3627,2020-05-22 08:11:50.203,0.351900,7,2,510109
10023,13431,2021-03-12 05:32:03.253,6.883300,7,2,509999
10023,16318,2020-05-22 08:11:50.203,13.400000,7,2,509997
10023,1442,2021-03-12 05:32:03.253,5.175000,7,2,509995
10023,14110,2021-03-12 05:32:03.253,0.456200,7,2,509994
10023,6314,2021-03-12 05:32:03.253,0.367800,7,2,509993
10023,4082,2020-05-22 08:11:50.203,0.025300,7,2,509992
10023,1138,2021-03-12 05:32:03.253,117.142000,7,2,509991
10023,4021,2021-03-12 05:32:03.253,3.902000,7,2,509946
10023,3032,2021-03-12 05:32:03.253,0.361300,7,2,509945
10023,1003,2020-05-22 08:11:50.203,931.350000,7,2,509944
10023,5388,2021-03-12 05:32:03.253,10.556000,7,2,509943
10023,3379,2021-03-12 05:32:03.253,0.846000,7,2,509942
10023,12966,2021-03-12 05:32:03.253,36.631200,7,2,509941
10023,13209,2021-03-12 05:32:03.253,2.047000,7,2,509940
10023,1488,2020-05-22 08:11:50.203,1867.330000,7,2,509938
10023,2794,2021-03-12 05:32:03.253,69.030000,7,2,509937
10023,1720,2020-05-22 08:11:50.203,0.000000,7,2,509936
10023,4385,2021-03-12 05:32:03.253,42.080000,7,2,509935
10023,1380,2021-03-12 05:32:03.253,22.580000,7,2,509934
10023,99999,2020-05-22 08:11:50.203,0.000000,7,2,509933
10023,6465,2021-03-12 05:32:03.253,61.209000,7,2,509932
10023,7075,2021-03-12 05:32:03.253,16.454000,7,2,509931
10023,16025,2021-03-12 01:27:15.983,2.921000,7,2,509930
10023,1615,2020-05-22 08:11:50.203,11.810000,7,2,509928
10023,POMKC,2021-04-28 08:21:26.347,0.000000,7,2,509926
10023,12407,2020-05-22 08:11:50.203,23.250000,7,2,510032
10023,6078,2020-05-22 08:11:50.203,5.330000,7,2,510029
10023,14413,2020-05-22 08:11:50.203,0.000000,7,2,510027
10023,1036,2021-03-12 05:32:03.253,0.656600,7,2,510026
10023,3554,2020-05-22 08:11:50.203,19.710000,7,2,510024
10023,999988,2021-04-28 08:21:26.347,0.000000,7,2,510023
10023,6875,2020-05-22 08:11:50.203,68.000000,7,2,510020
10023,7523,2020-05-22 08:11:50.203,10.387100,7,2,510019
10023,1303,2021-03-12 05:32:03.253,2.104300,7,2,510017
10023,3398,2021-03-12 05:32:03.253,0.406500,7,2,510012
10023,1815,2020-05-22 08:11:50.203,2.328500,7,2,510011
10023,3176,2020-05-22 08:11:50.203,5.400000,7,2,510010
10023,1321,2021-03-12 05:32:03.253,1.450000,7,2,510009
10023,4965,2021-03-12 05:32:03.253,0.034100,7,2,510008
10023,T0822,2020-05-22 08:11:50.203,0.000000,7,2,510007
10023,20043,2020-05-22 08:11:50.203,5.000000,7,2,510004
10023,7344,2021-03-12 05:32:03.253,1.050000,7,2,510002
